Well,DEPTH,GR,DT,NPHI,RHOB
IJS-57,48.2,,,,
IJS-57,48.3,,,,
IJS-57,48.4,32.383904,,,
IJS-57,48.5,31.288784,,,
IJS-57,48.6,30.577358,,,
IJS-57,48.7,30.357304,,,
IJS-57,48.8,30.536518,,,
IJS-57,48.9,30.959328,,,
IJS-57,49.0,31.489803,,,
IJS-57,49.1,32.042267,,,
IJS-57,49.2,32.58963,,,
IJS-57,49.3,33.1465,,,
IJS-57,49.4,33.703438,,,
IJS-57,49.5,34.144943,,,
IJS-57,49.6,34.247795,,,
IJS-57,49.7,33.772186,,,
IJS-57,49.8,32.665497,,,
IJS-57,49.9,31.06105,,,
IJS-57,50.0,29.244007,,,
IJS-57,50.1,27.600857,,,
IJS-57,50.2,26.44883,,,
IJS-57,50.3,26.022846,,,
IJS-57,50.4,26.363327,,,
IJS-57,50.5,27.344288,,,
IJS-57,50.6,28.668716,,,
IJS-57,50.7,29.993484,,,
IJS-57,50.8,30.993099,,,
IJS-57,50.9,31.515102,,,
IJS-57,51.0,31.706539,,,
IJS-57,51.1,31.897598,,,
IJS-57,51.2,32.373825,,,
IJS-57,51.3,33.161858,,,
IJS-57,51.4,33.909943,,,
IJS-57,51.5,34.084106,,,
IJS-57,51.6,33.344589,,,
IJS-57,51.7,31.817047,,,
IJS-57,51.8,29.928745,,,
IJS-57,51.9,28.134899,,,
IJS-57,52.0,26.820129,,,
IJS-57,52.1,26.158432,,,
IJS-57,52.2,26.217728,,,
IJS-57,52.3,26.925274,,,
IJS-57,52.4,28.071274,,,
IJS-57,52.5,29.298603,,,
IJS-57,52.6,30.319431,,,
IJS-57,52.7,30.903294,,,
IJS-57,52.8,30.969372,,,
IJS-57,52.9,30.630878,,,
IJS-57,53.0,30.10836,,,
IJS-57,53.1,29.531834,,,
IJS-57,53.2,28.837749,,,
IJS-57,53.3,27.96183,,,
IJS-57,53.4,26.960365,,,
IJS-57,53.5,26.061981,,,
IJS-57,53.6,25.559921,,,
IJS-57,53.7,25.51585,,,
IJS-57,53.8,25.837395,,,
IJS-57,53.9,26.347195,,,
IJS-57,54.0,26.893253,,,
IJS-57,54.1,27.421818,,,
IJS-57,54.2,27.908821,,,
IJS-57,54.3,28.403702,,,
IJS-57,54.4,29.059261,,,
IJS-57,54.5,30.022728,,,
IJS-57,54.6,31.246994,,,
IJS-57,54.7,32.358536,,,
IJS-57,54.8,32.890617,,,
IJS-57,54.9,32.435966,,,
IJS-57,55.0,30.998356,,,
IJS-57,55.1,29.104145,,,
IJS-57,55.2,27.571686,,,
IJS-57,55.3,26.84586,,,
IJS-57,55.4,26.777336,,,
IJS-57,55.5,26.863468,,,
IJS-57,55.6,26.722046,,,
IJS-57,55.7,26.388866,,,
IJS-57,55.8,26.289619,,,
IJS-57,55.9,26.845333,,,
IJS-57,56.0,28.071751,,,
IJS-57,56.1,29.436523,,,
IJS-57,56.2,30.305931,,,
IJS-57,56.3,30.338078,,,
IJS-57,56.4,29.771114,,,
IJS-57,56.5,29.159161,,,
IJS-57,56.6,28.964706,,,
IJS-57,56.7,29.279404,,,
IJS-57,56.8,29.924068,,,
IJS-57,56.9,30.595623,,,
IJS-57,57.0,31.007828,,,
IJS-57,57.1,31.018719,,,
IJS-57,57.2,30.580921,,,
IJS-57,57.3,29.600216,,,
IJS-57,57.4,28.083965,,,
IJS-57,57.5,26.249943,,,
IJS-57,57.6,24.499863,,,
IJS-57,57.7,23.260513,,,
IJS-57,57.8,22.753788,,,
IJS-57,57.9,22.980709,,,
IJS-57,58.0,23.737915,,,
IJS-57,58.1,24.809895,,,
IJS-57,58.2,25.972801,,,
IJS-57,58.3,27.050678,,,
IJS-57,58.4,27.91547,,,
IJS-57,58.5,28.466763,,,
IJS-57,58.6,28.671963,,,
IJS-57,58.7,28.554493,,,
IJS-57,58.8,28.200218,,,
IJS-57,58.9,27.848114,,,
IJS-57,59.0,27.851093,,,
IJS-57,59.1,28.398422,,,
IJS-57,59.2,29.292637,,,
IJS-57,59.3,30.00584,,,
IJS-57,59.4,29.987461,,,
IJS-57,59.5,28.911243,,,
IJS-57,59.6,26.803661,,,
IJS-57,59.7,24.167881,,,
IJS-57,59.8,21.827766,,,
IJS-57,59.9,20.347004,,,
IJS-57,60.0,19.905201,,,
IJS-57,60.1,20.378223,,,
IJS-57,60.2,21.555599,,,
IJS-57,60.3,23.276535,,,
IJS-57,60.4,25.427834,,,
IJS-57,60.5,27.783421,,,
IJS-57,60.6,29.844646,,,
IJS-57,60.7,31.068581,,,
IJS-57,60.8,31.12254,,,
IJS-57,60.9,30.191292,,,
IJS-57,61.0,28.897068,,,
IJS-57,61.1,27.996746,,,
IJS-57,61.2,28.050823,,,
IJS-57,61.3,29.242908,,,
IJS-57,61.4,31.395527,,,
IJS-57,61.5,33.979546,,,
IJS-57,61.6,36.268425,,,
IJS-57,61.7,37.776985,,,
IJS-57,61.8,38.630699,,,
IJS-57,61.9,39.083961,,,
IJS-57,62.0,39.183578,,,
IJS-57,62.1,38.891388,,,
IJS-57,62.2,38.235664,,,
IJS-57,62.3,37.348984,,,
IJS-57,62.4,36.47229,,,
IJS-57,62.5,35.937164,,,
IJS-57,62.6,35.952675,,,
IJS-57,62.7,36.481354,,,
IJS-57,62.8,37.049248,,,
IJS-57,62.9,37.048409,,,
IJS-57,63.0,36.244064,,,
IJS-57,63.1,34.969551,,,
IJS-57,63.2,33.789864,,,
IJS-57,63.3,33.248047,,,
IJS-57,63.4,33.647087,,,
IJS-57,63.5,35.112328,,,
IJS-57,63.6,37.319443,,,
IJS-57,63.7,39.574028,,,
IJS-57,63.8,41.114731,,,
IJS-57,63.9,41.286209,,,
IJS-57,64.0,39.943291,,,
IJS-57,64.1,37.419022,,,
IJS-57,64.2,34.603638,,,
IJS-57,64.3,32.409966,,,
IJS-57,64.4,31.492802,,,
IJS-57,64.5,31.859154,,,
IJS-57,64.6,33.047958,,,
IJS-57,64.7,34.374596,,,
IJS-57,64.8,35.191681,,,
IJS-57,64.9,34.986771,,,
IJS-57,65.0,33.618614,,,
IJS-57,65.1,31.379642,,,
IJS-57,65.2,28.964787,,,
IJS-57,65.3,27.024517,,,
IJS-57,65.4,25.891705,,,
IJS-57,65.5,25.607273,,,
IJS-57,65.6,25.844978,,,
IJS-57,65.7,26.22773,,,
IJS-57,65.8,26.644169,,,
IJS-57,65.9,27.247032,,,
IJS-57,66.0,28.132828,,,
IJS-57,66.1,29.087002,,,
IJS-57,66.2,29.666985,,,
IJS-57,66.3,29.603615,,,
IJS-57,66.4,29.036732,,,
IJS-57,66.5,28.303162,,,
IJS-57,66.6,27.777348,,,
IJS-57,66.7,27.612347,,,
IJS-57,66.8,27.668964,,,
IJS-57,66.9,27.691566,,,
IJS-57,67.0,27.61058,,,
IJS-57,67.1,27.575657,,,
IJS-57,67.2,27.741928,,,
IJS-57,67.3,28.104069,,,
IJS-57,67.4,28.340637,,,
IJS-57,67.5,28.069866,,,
IJS-57,67.6,27.306892,,,
IJS-57,67.7,26.404438,,,
IJS-57,67.8,25.791706,,,
IJS-57,67.9,25.781731,,,
IJS-57,68.0,26.343235,,,
IJS-57,68.1,27.062477,,,
IJS-57,68.2,27.396652,,,
IJS-57,68.3,27.003723,,,
IJS-57,68.4,25.851269,,,
IJS-57,68.5,24.245644,,,
IJS-57,68.6,22.698124,,,
IJS-57,68.7,21.71032,,,
IJS-57,68.8,21.646629,,,
IJS-57,68.9,22.633934,,,
IJS-57,69.0,24.438789,,,
IJS-57,69.1,26.492802,,,
IJS-57,69.2,28.041264,,,
IJS-57,69.3,28.430016,,,
IJS-57,69.4,27.454319,,,
IJS-57,69.5,25.467369,,,
IJS-57,69.6,23.182297,,,
IJS-57,69.7,21.359787,,,
IJS-57,69.8,20.513451,,,
IJS-57,69.9,20.677086,,,
IJS-57,70.0,21.521553,,,
IJS-57,70.1,22.56918,,,
IJS-57,70.2,23.525791,,,
IJS-57,70.3,24.392521,,,
IJS-57,70.4,25.460972,,,
IJS-57,70.5,27.078972,,,
IJS-57,70.6,29.289425,,,
IJS-57,70.7,31.779083,,,
IJS-57,70.8,33.902527,,,
IJS-57,70.9,34.980721,,,
IJS-57,71.0,34.820465,,,
IJS-57,71.1,33.813156,,,
IJS-57,71.2,32.843826,,,
IJS-57,71.3,32.778198,,,
IJS-57,71.4,33.909172,,,
IJS-57,71.5,35.758408,,,
IJS-57,71.6,37.381882,,,
IJS-57,71.7,37.896637,,,
IJS-57,71.8,36.971901,,,
IJS-57,71.9,34.88475,,,
IJS-57,72.0,32.468788,,,
IJS-57,72.1,30.529018,,,
IJS-57,72.2,29.580238,,,
IJS-57,72.3,29.765884,,,
IJS-57,72.4,30.956635,,,
IJS-57,72.5,32.801781,,,
IJS-57,72.6,34.927963,,,
IJS-57,72.7,36.968018,,,
IJS-57,72.8,38.580605,,,
IJS-57,72.9,39.625221,,,
IJS-57,73.0,39.982986,,,
IJS-57,73.1,39.565369,,,
IJS-57,73.2,38.429008,,,
IJS-57,73.3,36.862389,,,
IJS-57,73.4,35.163864,,,
IJS-57,73.5,33.577538,,,
IJS-57,73.6,32.351654,,,
IJS-57,73.7,31.535503,,,
IJS-57,73.8,31.124908,,,
IJS-57,73.9,31.085442,,,
IJS-57,74.0,31.330841,,,
IJS-57,74.1,31.707325,,,
IJS-57,74.2,32.017197,,,
IJS-57,74.3,32.025612,,,
IJS-57,74.4,31.643593,,,
IJS-57,74.5,31.050961,,,
IJS-57,74.6,30.487942,,,
IJS-57,74.7,30.104549,,,
IJS-57,74.8,29.931057,,,
IJS-57,74.9,29.896309,,,
IJS-57,75.0,29.914486,,,
IJS-57,75.1,30.088833,,,
IJS-57,75.2,30.647312,,,
IJS-57,75.3,31.649544,,,
IJS-57,75.4,32.92025,,,
IJS-57,75.5,33.958847,,,
IJS-57,75.6,34.191452,,,
IJS-57,75.7,33.357712,,,
IJS-57,75.8,31.689419,,,
IJS-57,75.9,29.699909,,,
IJS-57,76.0,28.087486,,,
IJS-57,76.1,27.387287,,,
IJS-57,76.2,27.788567,,,
IJS-57,76.3,29.093159,,,
IJS-57,76.4,30.898186,,,
IJS-57,76.5,32.837097,,,
IJS-57,76.6,34.604897,,,
IJS-57,76.7,36.100769,,,
IJS-57,76.8,37.234459,,,
IJS-57,76.9,37.82486,,,
IJS-57,77.0,37.8797,,,
IJS-57,77.1,37.517838,,,
IJS-57,77.2,36.892593,,,
IJS-57,77.3,36.184036,,,
IJS-57,77.4,35.57972,,,
IJS-57,77.5,35.06768,,,
IJS-57,77.6,34.469841,,,
IJS-57,77.7,33.667236,,,
IJS-57,77.8,32.705513,,,
IJS-57,77.9,31.80439,,,
IJS-57,78.0,31.110428,,,
IJS-57,78.1,30.667419,,,
IJS-57,78.2,30.506451,,,
IJS-57,78.3,30.670818,,,
IJS-57,78.4,31.193508,,,
IJS-57,78.5,32.055801,,,
IJS-57,78.6,33.172615,,,
IJS-57,78.7,34.359985,,,
IJS-57,78.8,35.374954,,,
IJS-57,78.9,36.001816,,,
IJS-57,79.0,36.125847,,,
IJS-57,79.1,35.773224,,,
IJS-57,79.2,34.944389,,,
IJS-57,79.3,33.647354,,,
IJS-57,79.4,31.954788,,,
IJS-57,79.5,30.066437,,,
IJS-57,79.6,28.250847,,,
IJS-57,79.7,26.835594,,,
IJS-57,79.8,26.157555,,,
IJS-57,79.9,26.297138,,,
IJS-57,80.0,27.018379,,,
IJS-57,80.1,27.881645,,,
IJS-57,80.2,28.518414,,,
IJS-57,80.3,28.815674,,,
IJS-57,80.4,28.909664,,,
IJS-57,80.5,29.074673,,,
IJS-57,80.6,29.513084,,,
IJS-57,80.7,30.235733,,,
IJS-57,80.8,31.038727,,,
IJS-57,80.9,31.581081,,,
IJS-57,81.0,31.580658,,,
IJS-57,81.1,30.821259,,,
IJS-57,81.2,29.291004,,,
IJS-57,81.3,27.304073,,,
IJS-57,81.4,25.54324,,,
IJS-57,81.5,24.784744,,,
IJS-57,81.6,25.533344,,,
IJS-57,81.7,27.604477,,,
IJS-57,81.8,30.225182,,,
IJS-57,81.9,32.350677,,,
IJS-57,82.0,33.173355,,,
IJS-57,82.1,32.614456,,,
IJS-57,82.2,31.287868,,,
IJS-57,82.3,30.023468,,,
IJS-57,82.4,29.325253,,,
IJS-57,82.5,29.205013,,,
IJS-57,82.6,29.34182,,,
IJS-57,82.7,29.410351,,,
IJS-57,82.8,29.341618,,,
IJS-57,82.9,29.269855,,,
IJS-57,83.0,29.383968,,,
IJS-57,83.1,29.876862,,,
IJS-57,83.2,30.83287,,,
IJS-57,83.3,32.062805,,,
IJS-57,83.4,33.242378,,,
IJS-57,83.5,34.060646,,,
IJS-57,83.6,34.336723,,,
IJS-57,83.7,34.119972,,,
IJS-57,83.8,33.598595,,,
IJS-57,83.9,33.021942,,,
IJS-57,84.0,32.599068,,,
IJS-57,84.1,32.511032,,,
IJS-57,84.2,32.706802,,,
IJS-57,84.3,32.804047,,,
IJS-57,84.4,32.302094,,,
IJS-57,84.5,30.83091,,,
IJS-57,84.6,28.427029,,,
IJS-57,84.7,25.645256,,,
IJS-57,84.8,23.214005,,,
IJS-57,84.9,21.785454,,,
IJS-57,85.0,21.764282,,,
IJS-57,85.1,23.104332,,,
IJS-57,85.2,25.283306,,,
IJS-57,85.3,27.680805,,,
IJS-57,85.4,29.907661,,,
IJS-57,85.5,31.592804,,,
IJS-57,85.6,32.406105,,,
IJS-57,85.7,32.020378,,,
IJS-57,85.8,30.434029,,,
IJS-57,85.9,28.106155,,,
IJS-57,86.0,25.845043,,,
IJS-57,86.1,24.301701,,,
IJS-57,86.2,23.79903,,,
IJS-57,86.3,24.337112,,,
IJS-57,86.4,25.510723,,,
IJS-57,86.5,26.783672,,,
IJS-57,86.6,27.830467,,,
IJS-57,86.7,28.813557,,,
IJS-57,86.8,30.073215,,,
IJS-57,86.9,31.732178,,,
IJS-57,87.0,33.649933,,,
IJS-57,87.1,35.467697,,,
IJS-57,87.2,36.84272,,,
IJS-57,87.3,37.445976,,,
IJS-57,87.4,37.019417,,,
IJS-57,87.5,35.604034,,,
IJS-57,87.6,33.46553,,,
IJS-57,87.7,30.91048,,,
IJS-57,87.8,28.112465,,,
IJS-57,87.9,25.494617,,,
IJS-57,88.0,23.46772,,,
IJS-57,88.1,22.290321,,,
IJS-57,88.2,22.177967,,,
IJS-57,88.3,23.124763,,,
IJS-57,88.4,24.855633,,,
IJS-57,88.5,26.841534,,,
IJS-57,88.6,28.556232,,,
IJS-57,88.7,29.648029,,,
IJS-57,88.8,30.162308,,,
IJS-57,88.9,30.271736,,,
IJS-57,89.0,30.155434,,,
IJS-57,89.1,30.043449,,,
IJS-57,89.2,30.070984,,,
IJS-57,89.3,30.159309,,,
IJS-57,89.4,30.052719,,,
IJS-57,89.5,29.561203,,,
IJS-57,89.6,28.725163,,,
IJS-57,89.7,27.739193,,,
IJS-57,89.8,26.838478,,,
IJS-57,89.9,26.258518,,,
IJS-57,90.0,26.210236,,,
IJS-57,90.1,26.72953,,,
IJS-57,90.2,27.662479,,,
IJS-57,90.3,28.796726,,,
IJS-57,90.4,29.974892,,,
IJS-57,90.5,31.058949,,,
IJS-57,90.6,31.848785,,,
IJS-57,90.7,32.137947,,,
IJS-57,90.8,31.795654,,,
IJS-57,90.9,30.8582,,,
IJS-57,91.0,29.478729,,,
IJS-57,91.1,27.933186,,,
IJS-57,91.2,26.563423,,,
IJS-57,91.3,25.700199,,,
IJS-57,91.4,25.542831,,,
IJS-57,91.5,26.14666,,,
IJS-57,91.6,27.459881,,,
IJS-57,91.7,29.223839,,,
IJS-57,91.8,30.999668,,,
IJS-57,91.9,32.300697,,,
IJS-57,92.0,32.843826,,,
IJS-57,92.1,32.714272,,,
IJS-57,92.2,32.292,,,
IJS-57,92.3,32.010422,,,
IJS-57,92.4,32.091751,,,
IJS-57,92.5,32.470734,,,
IJS-57,92.6,32.745514,,,
IJS-57,92.7,32.376266,,,
IJS-57,92.8,31.159531,,,
IJS-57,92.9,29.408554,,,
IJS-57,93.0,27.743969,,,
IJS-57,93.1,26.63905,,,
IJS-57,93.2,26.310593,,,
IJS-57,93.3,26.757969,,,
IJS-57,93.4,27.783028,,,
IJS-57,93.5,29.059422,,,
IJS-57,93.6,30.150173,,,
IJS-57,93.7,30.79409,,,
IJS-57,93.8,30.92083,,,
IJS-57,93.9,30.56834,,,
IJS-57,94.0,29.929981,,,
IJS-57,94.1,29.310394,,,
IJS-57,94.2,28.972393,,,
IJS-57,94.3,29.053532,,,
IJS-57,94.4,29.413765,,,
IJS-57,94.5,29.676418,,,
IJS-57,94.6,29.552475,,,
IJS-57,94.7,29.0299,,,
IJS-57,94.8,28.367062,,,
IJS-57,94.9,27.999401,,,
IJS-57,95.0,28.263718,,,
IJS-57,95.1,29.07851,,,
IJS-57,95.2,30.01675,,,
IJS-57,95.3,30.718674,,,
IJS-57,95.4,30.976295,,,
IJS-57,95.5,30.763176,,,
IJS-57,95.6,30.369846,,,
IJS-57,95.7,30.101147,,,
IJS-57,95.8,30.070385,,,
IJS-57,95.9,30.302368,,,
IJS-57,96.0,30.705276,,,
IJS-57,96.1,31.133507,,,
IJS-57,96.2,31.480721,,,
IJS-57,96.3,31.598392,,,
IJS-57,96.4,31.424343,,,
IJS-57,96.5,31.177666,,,
IJS-57,96.6,31.176975,,,
IJS-57,96.7,31.502373,,,
IJS-57,96.8,32.052299,,,
IJS-57,96.9,32.606659,,,
IJS-57,97.0,32.888481,,,
IJS-57,97.1,32.758247,,,
IJS-57,97.2,32.283318,,,
IJS-57,97.3,31.583519,,,
IJS-57,97.4,30.853195,,,
IJS-57,97.5,30.297874,,,
IJS-57,97.6,29.978962,,,
IJS-57,97.7,29.760006,,,
IJS-57,97.8,29.466957,,,
IJS-57,97.9,28.948463,,,
IJS-57,98.0,28.096405,,,
IJS-57,98.1,27.010586,,,
IJS-57,98.2,26.054527,,,
IJS-57,98.3,25.650471,,,
IJS-57,98.4,25.981705,,,
IJS-57,98.5,26.854343,,,
IJS-57,98.6,27.856174,,,
IJS-57,98.7,28.555035,,,
IJS-57,98.8,28.86314,,,
IJS-57,98.9,29.048954,,,
IJS-57,99.0,29.414021,,,
IJS-57,99.1,30.069416,,,
IJS-57,99.2,30.836941,,,
IJS-57,99.3,31.269897,,,
IJS-57,99.4,31.006466,,,
IJS-57,99.5,30.073719,,,
IJS-57,99.6,28.806252,,,
IJS-57,99.7,27.644077,,,
IJS-57,99.8,27.001568,,,
IJS-57,99.9,26.984657,,,
IJS-57,100.0,27.345142,,,
IJS-57,100.1,27.77737,,,
IJS-57,100.2,28.219315,,,
IJS-57,100.3,28.762039,,,
IJS-57,100.4,29.509956,,,
IJS-57,100.5,30.506199,,,
IJS-57,100.6,31.596981,,,
IJS-57,100.7,32.543228,,,
IJS-57,100.8,33.191254,,,
IJS-57,100.9,33.554367,,,
IJS-57,101.0,33.761185,,,
IJS-57,101.1,33.921196,,,
IJS-57,101.2,34.074455,,,
IJS-57,101.3,34.120461,,,
IJS-57,101.4,33.939865,,,
IJS-57,101.5,33.584496,,,
IJS-57,101.6,33.329414,,,
IJS-57,101.7,33.499222,,,
IJS-57,101.8,34.248222,,,
IJS-57,101.9,35.438057,,,
IJS-57,102.0,36.659111,,,
IJS-57,102.1,37.439201,,,
IJS-57,102.2,37.349297,,,
IJS-57,102.3,36.125076,,,
IJS-57,102.4,33.851768,,,
IJS-57,102.5,31.049313,,,
IJS-57,102.6,28.254425,,,
IJS-57,102.7,25.824429,,,
IJS-57,102.8,23.922993,,,
IJS-57,102.9,22.444195,,,
IJS-57,103.0,21.252609,,,
IJS-57,103.1,20.332043,,,
IJS-57,103.2,19.851444,,,
IJS-57,103.3,19.993282,,,
IJS-57,103.4,20.665318,,,
IJS-57,103.5,21.504372,,,
IJS-57,103.6,22.090275,,,
IJS-57,103.7,22.223785,,,
IJS-57,103.8,21.949757,,,
IJS-57,103.9,21.494457,,,
IJS-57,104.0,21.080826,,,
IJS-57,104.1,20.758072,,,
IJS-57,104.2,20.44936,,,
IJS-57,104.3,20.18504,,,
IJS-57,104.4,20.153023,,,
IJS-57,104.5,20.602375,,,
IJS-57,104.6,21.720268,,,
IJS-57,104.7,23.390022,,,
IJS-57,104.8,25.329556,,,
IJS-57,104.9,27.280102,,,
IJS-57,105.0,29.070614,,,
IJS-57,105.1,30.670845,,,
IJS-57,105.2,32.194962,,,
IJS-57,105.3,33.922745,,,
IJS-57,105.4,35.926117,,,
IJS-57,105.5,38.004463,,,
IJS-57,105.6,39.74575,,,
IJS-57,105.7,40.760323,,,
IJS-57,105.8,40.83783,,,
IJS-57,105.9,39.979179,,,
IJS-57,106.0,38.446976,,,
IJS-57,106.1,36.7061,,,
IJS-57,106.2,35.151978,,,
IJS-57,106.3,34.01284,,,
IJS-57,106.4,33.247726,,,
IJS-57,106.5,32.763603,,,
IJS-57,106.6,32.573524,,,
IJS-57,106.7,32.618851,,,
IJS-57,106.8,32.71669,,,
IJS-57,106.9,32.580208,,,
IJS-57,107.0,32.002655,,,
IJS-57,107.1,31.019135,,,
IJS-57,107.2,29.820065,,,
IJS-57,107.3,28.66148,,,
IJS-57,107.4,27.846184,,,
IJS-57,107.5,27.44688,,,
IJS-57,107.6,27.414371,,,
IJS-57,107.7,27.666302,,,
IJS-57,107.8,28.091095,,,
IJS-57,107.9,28.545746,,,
IJS-57,108.0,28.9422,,,
IJS-57,108.1,29.301888,,,
IJS-57,108.2,29.634098,,,
IJS-57,108.3,29.952972,,,
IJS-57,108.4,30.317108,,,
IJS-57,108.5,30.786858,,,
IJS-57,108.6,31.403988,,,
IJS-57,108.7,32.188278,,,
IJS-57,108.8,33.122292,,,
IJS-57,108.9,34.074646,,,
IJS-57,109.0,34.837898,,,
IJS-57,109.1,35.32132,,,
IJS-57,109.2,35.540649,,,
IJS-57,109.3,35.57708,,,
IJS-57,109.4,35.602036,,,
IJS-57,109.5,35.73925,,,
IJS-57,109.6,35.876884,,,
IJS-57,109.7,35.735229,,,
IJS-57,109.8,35.07077,,,
IJS-57,109.9,33.96299,,,
IJS-57,110.0,32.867996,,,
IJS-57,110.1,32.224915,,,
IJS-57,110.2,32.136513,,,
IJS-57,110.3,32.468552,,,
IJS-57,110.4,32.947952,,,
IJS-57,110.5,33.199501,,,
IJS-57,110.6,32.999222,,,
IJS-57,110.7,32.491333,,,
IJS-57,110.8,32.014862,,,
IJS-57,110.9,31.774864,,,
IJS-57,111.0,31.773636,,,
IJS-57,111.1,31.929935,,,
IJS-57,111.2,32.114555,,,
IJS-57,111.3,32.131851,,,
IJS-57,111.4,31.816174,,,
IJS-57,111.5,31.150707,,,
IJS-57,111.6,30.247974,,,
IJS-57,111.7,29.310032,,,
IJS-57,111.8,28.564293,,,
IJS-57,111.9,28.251862,,,
IJS-57,112.0,28.441311,,,
IJS-57,112.1,28.897755,,,
IJS-57,112.2,29.255524,,,
IJS-57,112.3,29.351292,,,
IJS-57,112.4,29.244766,,,
IJS-57,112.5,29.071522,,,
IJS-57,112.6,28.993271,,,
IJS-57,112.7,29.173096,,,
IJS-57,112.8,29.640743,,,
IJS-57,112.9,30.247768,,,
IJS-57,113.0,30.804752,,,
IJS-57,113.1,31.312122,,,
IJS-57,113.2,31.904366,,,
IJS-57,113.3,32.588219,,,
IJS-57,113.4,33.210571,,,
IJS-57,113.5,33.525887,,,
IJS-57,113.6,33.336487,,,
IJS-57,113.7,32.594116,,,
IJS-57,113.8,31.440964,,,
IJS-57,113.9,30.169498,,,
IJS-57,114.0,29.134876,,,
IJS-57,114.1,28.551868,,,
IJS-57,114.2,28.353123,,,
IJS-57,114.3,28.367764,,,
IJS-57,114.4,28.429726,,,
IJS-57,114.5,28.367992,,,
IJS-57,114.6,27.991886,,,
IJS-57,114.7,27.202858,,,
IJS-57,114.8,26.04464,,,
IJS-57,114.9,24.740452,,,
IJS-57,115.0,23.611633,,,
IJS-57,115.1,22.927765,,,
IJS-57,115.2,22.810272,,,
IJS-57,115.3,23.124302,,,
IJS-57,115.4,23.570866,,,
IJS-57,115.5,23.828289,,,
IJS-57,115.6,23.818493,,,
IJS-57,115.7,23.711296,,,
IJS-57,115.8,23.708187,,,
IJS-57,115.9,23.894859,,,
IJS-57,116.0,24.200558,,,
IJS-57,116.1,24.447861,,,
IJS-57,116.2,24.47224,,,
IJS-57,116.3,24.311638,,,
IJS-57,116.4,24.230549,,,
IJS-57,116.5,24.464428,,,
IJS-57,116.6,24.995144,,,
IJS-57,116.7,25.568111,,,
IJS-57,116.8,25.863174,,,
IJS-57,116.9,25.836246,,,
IJS-57,117.0,25.765106,,,
IJS-57,117.1,26.040913,,,
IJS-57,117.2,26.83934,,,
IJS-57,117.3,27.988407,,,
IJS-57,117.4,29.072048,,,
IJS-57,117.5,29.866306,,,
IJS-57,117.6,30.521904,,,
IJS-57,117.7,31.36375,,,
IJS-57,117.8,32.616302,,,
IJS-57,117.9,34.23008,,,
IJS-57,118.0,35.963837,,,
IJS-57,118.1,37.46479,,,
IJS-57,118.2,38.241959,,,
IJS-57,118.3,38.073341,,,
IJS-57,118.4,37.03849,,,
IJS-57,118.5,35.44561,,,
IJS-57,118.6,33.643562,,,
IJS-57,118.7,32.095657,,,
IJS-57,118.8,31.113865,,,
IJS-57,118.9,30.789944,,,
IJS-57,119.0,30.919357,,,
IJS-57,119.1,31.150635,,,
IJS-57,119.2,31.200893,,,
IJS-57,119.3,30.993866,,,
IJS-57,119.4,30.674271,,,
IJS-57,119.5,30.45005,,,
IJS-57,119.6,30.53117,,,
IJS-57,119.7,31.051689,,,
IJS-57,119.8,31.939163,,,
IJS-57,119.9,33.006035,,,
IJS-57,120.0,33.975578,,,
IJS-57,120.1,34.5215,,,
IJS-57,120.2,34.59848,,,
IJS-57,120.3,34.499191,,,
IJS-57,120.4,34.488579,,,
IJS-57,120.5,34.485779,,,
IJS-57,120.6,34.205414,,,
IJS-57,120.7,33.378807,,,
IJS-57,120.8,31.932404,,,
IJS-57,120.9,30.240967,,,
IJS-57,121.0,28.891521,,,
IJS-57,121.1,28.396767,,,
IJS-57,121.2,28.97765,,,
IJS-57,121.3,30.33564,,,
IJS-57,121.4,31.82988,,,
IJS-57,121.5,32.969818,,,
IJS-57,121.6,33.66301,,,
IJS-57,121.7,34.015579,,,
IJS-57,121.8,34.149307,,,
IJS-57,121.9,34.048248,,,
IJS-57,122.0,33.555397,,,
IJS-57,122.1,32.644409,,,
IJS-57,122.2,31.56002,,,
IJS-57,122.3,30.607452,,,
IJS-57,122.4,30.073154,,,
IJS-57,122.5,30.210648,,,
IJS-57,122.6,31.111111,,,
IJS-57,122.7,32.583595,,,
IJS-57,122.8,34.250458,,,
IJS-57,122.9,35.74498,,,
IJS-57,123.0,36.702141,,,
IJS-57,123.1,36.910896,,,
IJS-57,123.2,36.393448,,,
IJS-57,123.3,35.490234,,,
IJS-57,123.4,34.74102,,,
IJS-57,123.5,34.595703,,,
IJS-57,123.6,35.197655,,,
IJS-57,123.7,36.397842,,,
IJS-57,123.8,37.807114,,,
IJS-57,123.9,38.893021,,,
IJS-57,124.0,39.118767,,,
IJS-57,124.1,38.210854,,,
IJS-57,124.2,36.246918,,,
IJS-57,124.3,33.645569,,,
IJS-57,124.4,31.161518,,,
IJS-57,124.5,29.51001,,,
IJS-57,124.6,29.153431,,,
IJS-57,124.7,29.941826,,,
IJS-57,124.8,31.215855,,,
IJS-57,124.9,32.287605,,,
IJS-57,125.0,32.790306,,,
IJS-57,125.1,32.690834,,,
IJS-57,125.2,32.2099,,,
IJS-57,125.3,31.643528,,,
IJS-57,125.4,31.174435,,,
IJS-57,125.5,30.865738,,,
IJS-57,125.6,30.681248,,,
IJS-57,125.7,30.515366,,,
